Station,Depth_m,Layer,Depth,Season,Auto_plankton,Phytoplankton_cells/ml,Picoeukaryotes_cells/ml,Nanoeukaryotes_cells/ml,Nanoeukaryotes_1_cells/ml,Nanoeukaryotes_2_cells/ml,Synechococcus_cells/ml,Cyanobacteria_104cells/mL,Cryptophytes_cells/ml,Picoeukaryotes,Nanoeukaryotes,Synechococcus,Cryptophytes,Picoeukaryotes_ug_C/L_Worden2004*530fg,Picoeukaryotes_ug_C/L_Verity*1393fg,Nanoeukaryotes_ug_C/L_Verity*14133fg,Nanoeukaryotes*Borsheim&Bratback1987*220fg,Synechococcus_ug_C/L*average*Buitenhuis*255fg,Synechococcus_ug_C/L_*kana&Gilbert*Paulsen*109.5fg
HG4,10,Photic Zone,Surface,Summer,9370.92,1.57E+04,8.74E+03,5.93E+03,5.14E+03,7.88E+02,3.78E+02,0.04,626.41,55.76,37.83,2.41,3.99,4.63,12.18,83.85,1.31,0.10,0.04
HG4,35,Photic Zone,DCM,Summer,10663.34,2.68E+04,9.75E+03,1.52E+04,1.00E+04,5.19E+03,9.72E+02,0.10,914.41,36.33,56.64,3.62,3.41,5.17,13.58,214.81,3.34,0.25,0.11
HG4,45,Photic Zone,Below DCM,Summer,8240.51,2.17E+04,7.47E+03,1.25E+04,8.75E+03,3.79E+03,9.40E+02,0.09,766.81,34.40,57.75,4.32,3.53,3.96,10.41,177.31,2.76,0.24,0.10
HG4,100,100 m,100m,Summer,1501.22,4.42E+03,1.27E+03,2.85E+03,1.11E+03,1.74E+03,7.20E+01,0.01,230.40,28.75,64.41,1.63,5.21,0.67,1.77,40.25,0.63,0.02,0.01
S3,10,Photic Zone,Surface,Summer,7279.30,1.53E+04,5.99E+03,7.57E+03,5.90E+03,1.67E+03,4.90E+02,0.05,1285.22,39.08,49.34,3.19,8.38,3.18,8.35,106.95,1.66,0.12,0.05
S3,30,Photic Zone,DCM,Summer,5745.68,1.43E+04,4.57E+03,8.15E+03,2.96E+03,5.19E+03,3.64E+02,0.04,1177.22,32.05,57.15,2.55,8.26,2.42,6.36,115.14,1.79,0.09,0.04
S3,40,Photic Zone,Below DCM,Summer,2332.83,7.58E+03,1.92E+03,5.11E+03,1.85E+03,3.25E+03,1.37E+02,0.01,417.61,25.27,67.41,1.81,5.51,1.02,2.67,72.20,1.12,0.03,0.01
S3,100,100 m,100m,Summer,2955.64,4.96E+03,2.66E+03,1.94E+03,1.67E+03,2.74E+02,6.48E+01,0.01,291.60,53.70,39.11,1.31,5.88,1.41,3.71,27.42,0.43,0.02,0.01
SV4,10,Photic Zone,Surface,Summer,7693.30,2.20E+04,5.96E+03,1.27E+04,7.98E+03,4.73E+03,1.56E+03,0.16,1735.22,27.14,57.88,7.08,7.90,3.16,8.30,179.60,2.80,0.40,0.17
SV4,23,Photic Zone,DCM,Summer,5104.87,1.54E+04,3.95E+03,9.24E+03,5.33E+03,3.91E+03,1.04E+03,0.10,1152.02,25.69,60.08,6.74,7.49,2.10,5.51,130.66,2.03,0.26,0.11
SV4,33,Photic Zone,Below DCM,Summer,5828.48,1.77E+04,4.54E+03,1.09E+04,6.59E+03,4.36E+03,9.47E+02,0.09,1288.82,25.61,61.77,5.34,7.27,2.41,6.32,154.72,2.41,0.24,0.10
SV4,100,100 m,100m,Summer,903.61,1.45E+03,7.06E+02,3.35E+02,3.20E+02,1.44E+01,2.16E+02,0.02,198.00,48.51,23.02,14.85,13.61,0.37,0.98,4.73,0.07,0.06,0.02
SV2,10,Photic Zone,Surface,Summer,13723.38,2.56E+04,1.21E+04,1.11E+04,9.86E+03,1.25E+03,7.96E+02,0.08,1576.82,47.39,43.36,3.10,6.15,6.44,16.92,157.06,2.44,0.20,0.09
SV2,40,Photic Zone,DCM,Summer,4788.06,9.98E+03,3.95E+03,4.92E+03,2.70E+03,2.22E+03,2.63E+02,0.03,838.81,39.59,49.37,2.63,8.41,2.09,5.50,69.60,1.08,0.07,0.03
SV2,45,Photic Zone,Below DCM,Summer,4248.06,8.26E+03,3.24E+03,3.83E+03,1.66E+03,2.17E+03,1.87E+02,0.02,1011.61,39.17,46.32,2.27,12.24,1.72,4.51,54.08,0.84,0.05,0.02
SV2,100,100 m,100m,Summer,914.41,1.42E+03,8.28E+02,4.79E+02,3.13E+02,1.66E+02,2.52E+01,0.00,86.40,58.38,33.76,1.78,6.09,0.44,1.15,6.77,0.11,0.01,0.00
HG1/2,10,Photic Zone,Surface,Summer,16585.42,2.79E+04,1.55E+04,9.57E+03,7.37E+03,2.21E+03,1.75E+03,0.17,1058.41,55.64,34.30,6.27,3.79,8.23,21.63,135.29,2.11,0.45,0.19
HG1/2,40,Photic Zone,DCM,Summer,6408.09,1.11E+04,5.89E+03,4.27E+03,2.85E+03,1.42E+03,4.57E+02,0.05,514.81,52.91,38.36,4.10,4.62,3.12,8.21,60.39,0.94,0.12,0.05
HG1/2,50,Photic Zone,Below DCM,Summer,4158.06,6.89E+03,3.80E+03,2.45E+03,1.63E+03,8.24E+02,2.77E+02,0.03,360.00,55.15,35.60,4.03,5.23,2.01,5.29,34.65,0.54,0.07,0.03
HG1/2,100,100 m,100m,Summer,2160.03,2.69E+03,1.86E+03,4.72E+02,4.46E+02,2.52E+01,5.40E+01,0.01,295.20,69.44,17.56,2.01,10.99,0.99,2.60,6.67,0.10,0.01,0.01
N5,10,Photic Zone,Surface,Summer,7144.33,1.10E+04,6.63E+03,3.42E+03,3.03E+03,3.87E+02,4.37E+02,0.04,510.56,60.33,31.06,3.97,4.64,3.52,9.24,48.27,0.75,0.11,0.05
N5,20,Photic Zone,DCM,Summer,4320.40,9.67E+03,3.70E+03,4.71E+03,4.29E+03,4.26E+02,6.41E+02,0.06,623.24,38.22,48.71,6.63,6.44,1.96,5.15,66.58,1.04,0.16,0.07
N5,30,Photic Zone,Below DCM,Summer,2348.58,5.05E+03,1.62E+03,2.39E+03,1.24E+03,1.16E+03,3.10E+02,0.03,732.39,31.99,47.39,6.13,14.49,0.86,2.25,33.84,0.53,0.08,0.03
N5,100,100 m,100m,Summer,1517.60,2.48E+03,1.24E+03,9.30E+02,3.06E+02,6.23E+02,3.17E+01,0.00,274.65,50.14,37.50,1.28,11.08,0.66,1.73,13.14,0.20,0.01,0.00
N4,10,Photic Zone,Surface,Summer,7876.72,1.38E+04,7.29E+03,5.23E+03,4.84E+03,3.91E+02,6.48E+02,0.06,584.50,53.01,38.03,4.71,4.25,3.86,10.16,73.95,1.15,0.17,0.07
N4,43,Photic Zone,DCM,Summer,2697.17,5.24E+03,2.03E+03,2.28E+03,1.07E+03,1.21E+03,2.61E+02,0.03,665.49,38.80,43.51,4.98,12.71,1.08,2.83,32.20,0.50,0.07,0.03
