"input"	"filtered"	"denoised"	"merged"	"nochim"	"tabled"
"1_clip"	119759	105390	105200	94979	92616	92608
"10_clip"	90502	77670	77555	69770	68683	68680
"11_clip"	72808	64562	64452	59128	58263	58257
"12_clip"	65154	56709	56553	52333	50874	50863
"13_clip"	92968	82361	82229	72171	71019	71011
"14_clip"	74681	65501	65401	60416	59350	59345
"15_clip"	79227	70243	70117	64712	63273	63268
"16_clip"	88659	77478	77266	72994	71130	71123
"17_clip"	104175	91649	91525	79950	78400	78397
"18_clip"	107159	93769	93645	86699	85442	85438
"19_clip"	104753	91845	91695	81949	80317	80314
"2_clip"	89646	77269	77177	57275	56474	56468
"20_clip"	94039	80282	80101	77365	75414	75411
"21_clip"	111017	96875	96731	81543	79901	79895
"22_clip"	96161	82595	82502	55815	54829	54822
"23_clip"	92620	81349	81230	63391	62225	62216
"24_clip"	97337	83887	83697	79274	77321	77314
"25_clip"	96996	84926	84807	66730	65415	65410
"26_clip"	103858	89781	89605	67054	65868	65857
"27_clip"	88183	77248	77139	67928	66882	66876
"28_clip"	98137	84599	84370	77606	75945	75934
"29_clip"	116655	102239	101934	86714	84161	84152
"3_clip"	100039	87559	87421	78766	77381	77376
"30_clip"	91916	79868	79699	66400	65124	65115
"31_clip"	94238	82288	82098	56233	55209	55200
"32_clip"	35248	29418	29360	25873	25518	25509
"33_clip"	149619	129273	129045	118330	115171	115163
"34_clip"	125441	108485	108257	103758	101018	101005
"35_clip"	128695	111888	111632	104345	101400	101385
"36_clip"	74396	63318	63156	61276	59343	59335
"37_clip"	95573	83681	83565	77430	76340	76340
"38_clip"	103364	90674	90497	88215	86234	86225
"39_clip"	95695	84455	84262	82422	80157	80148
"4_clip"	98818	84947	84762	80655	78730	78716
"40_clip"	91843	79669	79523	76713	74780	74771
"41_clip"	144918	125403	125114	119306	116143	116124
"42_clip"	142411	126030	125733	120922	117692	117682
"43_clip"	162548	143365	142813	137458	133010	132998
"44_clip"	80162	67518	67454	59983	58737	58730
"45_clip"	111109	95696	95593	88795	86881	86876
"46_clip"	116668	101742	101569	99033	96718	96715
"47_clip"	120327	105864	105549	102745	99603	99590
"48_clip"	110945	96686	96544	94121	91800	91783
"49_clip"	148858	131814	131571	127282	123649	123632
"5_clip"	124269	108779	108590	91980	89908	89898
"50_clip"	124342	108517	108225	104378	101561	101552
"51_clip"	147377	130522	130056	122785	117326	117314
"52_clip"	83860	73107	72955	71176	69594	69588
"53_clip"	132466	117019	116614	113773	111995	111989
"54_clip"	107804	94818	94581	92930	90999	90991
"55_clip"	118227	105171	104769	102750	100241	100233
"56_clip"	103313	90928	90731	87600	85421	85414
"57_clip"	90909	79676	79514	76885	74948	74939
"58_clip"	100453	87867	87691	85348	83141	83130
"59_clip"	95466	83835	83629	81466	79109	79106
"6_clip"	105508	91418	91303	79049	77880	77875
"60_clip"	74861	63942	63776	59840	58395	58388
"61_clip"	100423	87662	87488	82992	80936	80927
"62_clip"	103984	90137	89949	84992	82808	82795
"63_clip"	92698	81684	81487	77681	75701	75694
"64_clip"	83945	72868	72733	65499	63911	63898
"65_clip"	113097	97632	97463	92652	90621	90613
"66_clip"	123164	106203	105974	101905	99559	99542
"67_clip"	94499	81605	81448	77870	76184	76173
"7_clip"	103595	90851	90726	78586	77611	77605
"8_clip"	129268	112591	112309	107785	104808	104798
"9_clip"	52629	46010	45948	35932	35403	35398
