	1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	5_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	7_clip	8_clip	9_clip
sq1	9398	4450	4267	7664	8957	5848	6112	5916	9451	9044	9525	6662	10349	7164	5584	4631	7521	6200	4716	4450	5084	5218	8520	2188	1883	2003	8640	7361	7514	4644	4349	7841	5825	6873	3769	6844	7432	8416	2253	2682	9083	5551	6335	9611	13914	10045	9140	7640	6509	7104	5457	3596	3733	5309	5484	4543	5160	6818	8092	6250	2733	9207	2901
sq2	3	9	26	2147	4	36	54	4927	3	23	34	8	543	1	11	149	3684	1	291	980	3681	4	17	33	123	234	597	690	14021	4720	16	3999	6347	2534	154	160	11370	11363	58	49	2142	6257	4	3	945	6498	14457	3992	3446	3653	6247	10	3052	4030	4077	4010	2056	4411	5040	4269	20	4096	5
sq3	759	907	1096	3670	639	1219	1480	5042	1336	3045	3835	907	7716	487	542	931	5054	463	1029	1516	3023	785	1499	835	1109	1104	351	334	1184	2092	178	2047	1977	4085	120	272	855	2593	61	34	560	1553	939	303	1311	1755	3081	1751	1507	1696	1530	591	817	1136	1036	1040	823	1527	1898	1585	847	8658	477
sq4	61	17	20	8	40	15	6	0	107	28	15	41	2	58	44	17	2	54	7	6	4	3	42	2	1	1	6901	6179	708	45	3528	379	43	11	6764	9123	1499	52	9491	14124	2301	6	103	4221	2739	543	92	973	818	1253	480	19	659	956	1513	1123	958	736	855	682	33	3	18
sq5	6596	1627	1172	142	1948	691	604	223	4709	1021	670	1603	137	5848	4309	2328	156	4749	1984	148	146	3485	1542	3939	2412	115	1043	1134	190	32	6415	2240	115	245	456	2624	121	67	533	947	1246	49	7399	2350	1561	380	179	1267	1058	1227	113	2676	152	237	254	145	217	363	805	768	2223	405	1360
sq6	4257	1575	1520	609	1984	1416	1444	1395	2391	1845	1699	1920	2087	4622	2029	1387	2069	2861	1224	1009	894	9133	2072	5163	4062	498	402	508	388	107	278	1230	227	1851	83	317	193	151	25	23	494	144	3726	133	289	286	406	972	870	821	185	1749	276	342	346	231	326	814	1229	1063	1328	3267	1533
sq7	7328	1090	633	195	516	1321	986	914	2447	1088	718	1914	1080	3098	1549	2139	1367	2550	1757	2614	1787	1913	1334	4795	3801	785	131	156	138	169	1787	1414	1717	1663	35	244	24	253	19	37	154	625	7526	352	294	449	1183	514	430	522	363	6236	88	174	159	197	57	194	398	353	4747	2089	454
sq8	1071	331	439	551	505	5586	6525	2371	3082	7730	4227	1946	2073	686	1130	3080	2048	297	2639	1952	1794	83	5095	265	384	1488	6	4	70	16	11	125	414	4615	2	1	3	37	2	3	2	28	2722	3	82	103	183	41	22	47	33	2573	4	8	12	15	4	8	6	18	4882	4102	78
sq9	521	504	510	856	812	762	876	914	544	669	729	360	707	466	515	533	892	358	728	862	729	208	539	54	58	253	2548	1906	1873	979	577	1280	1150	767	1156	1677	2374	2483	690	795	2389	1737	365	644	1627	1753	1621	1635	1377	1497	1526	217	1168	1722	1753	1348	1516	1844	1896	1297	235	716	242
sq10	1803	629	659	246	1211	683	791	308	2265	1576	1371	1111	1158	1304	1487	1568	778	1315	1076	809	209	580	1316	199	226	247	2221	2144	986	145	2316	1859	462	623	1133	2227	1378	522	493	731	1941	309	666	2798	2871	1666	1189	1593	1190	1425	524	736	451	730	749	557	976	1041	1302	1021	779	813	452
sq11	148	227	303	442	326	314	260	370	348	481	386	225	235	132	185	172	260	147	330	491	403	17	348	15	4	31	3122	2475	2370	955	1044	1634	1007	370	2317	3054	2962	1944	1486	1968	2030	1180	106	427	1559	1356	1154	1404	1216	1372	1231	38	889	1240	1389	1232	1349	1255	1550	1005	26	254	86
sq12	3443	1071	885	151	1973	606	454	345	1399	406	323	864	435	3714	2444	1663	526	3499	1149	371	158	1444	616	1717	1369	176	1711	1820	495	66	1942	2626	159	236	657	1907	525	189	279	328	1757	178	1915	460	575	493	363	1338	1241	1357	347	1011	509	772	716	617	714	1075	1465	1285	744	650	1238
sq13	80	49	85	205	89	148	128	242	74	104	101	47	104	53	57	85	121	68	111	209	144	14	89	4	7	6	3125	2122	1758	384	703	769	340	244	3339	4782	4190	992	2886	6453	2620	473	40	225	1246	1146	692	1505	858	1142	864	9	678	1466	1171	968	1790	1036	1245	845	18	133	27
sq14	1174	598	887	1114	1141	962	820	1041	1927	2128	1934	1076	1885	766	616	678	1279	688	758	1010	824	308	1477	186	152	213	993	915	936	881	118	906	1318	1593	730	862	727	1610	400	468	1066	1082	892	418	1045	1197	1430	914	751	861	1091	391	601	835	787	843	723	941	935	636	297	1921	408
sq15	876	540	557	989	901	736	774	886	802	766	812	545	744	626	567	486	732	596	666	788	776	255	776	109	88	144	1598	1319	1495	851	349	824	855	961	910	1119	1613	1871	542	584	1328	1463	449	540	1104	1156	1159	1053	896	1021	1147	245	753	1089	1030	953	981	1126	1155	881	212	763	324
sq16	3	7	11	585	2	7	16	1138	1	7	15	5	98	0	3	33	952	1	43	181	2016	11	14	76	228	43	31	24	660	3187	1	392	4308	1298	16	9	635	5320	10	3	175	6091	1	1	48	418	1311	891	911	979	2709	4	1302	1769	1750	2033	513	1607	1205	845	8	1232	1
sq17	2748	705	649	162	1034	1566	1728	220	1358	1742	1445	1989	1035	2632	1121	1514	1080	2070	1385	673	434	1830	3019	4928	2338	674	0	1	8	3	22	38	13	1009	0	0	1	3	0	1	2	6	3608	0	5	6	10	10	9	5	1	3381	1	1	1	0	0	0	1	3	3941	1494	339
sq18	4	0	1	2	3	2	0	0	1	1	1	0	0	1	0	0	0	2	1	0	2	0	1	0	0	0	2706	2063	105	4	504	30	0	0	5762	3981	410	6	5805	7810	647	2	4	953	525	96	9	525	447	671	272	2	454	639	937	781	622	407	426	225	2	2	0
sq19	265	239	191	317	323	314	356	327	195	320	346	160	291	276	382	450	378	285	565	442	291	79	255	35	40	288	1867	1517	1090	366	595	983	526	271	770	1321	1392	1229	496	707	2002	863	216	421	1030	1241	922	1215	1081	1024	777	233	841	1231	1292	980	1283	1357	1410	1020	293	312	127
sq20	204	381	561	1179	421	998	1133	1154	476	1083	1149	317	1248	183	238	338	933	196	595	910	843	40	506	30	42	143	1101	1061	782	349	155	800	690	1411	1079	930	1043	601	403	400	1052	413	206	196	661	830	708	918	751	900	645	78	567	851	807	794	938	962	1078	731	127	1111	120
sq21	2066	324	279	307	561	260	292	413	681	276	312	532	268	2684	700	865	577	1216	399	316	395	15271	384	3438	3448	296	23	29	27	116	412	219	273	375	5	61	11	122	4	10	38	111	1564	565	282	70	96	250	192	196	59	955	13	28	29	30	24	29	85	59	958	1040	212
